ID,Segment
TEST_00676,C
TEST_00692,D
TEST_00700,C
TEST_00701,D
TEST_00702,D
TEST_00703,C
TEST_00709,C
TEST_00713,D
TEST_00715,D
TEST_00737,D
TEST_00738,D
TEST_00746,D
TEST_00751,C
TEST_00777,D
TEST_00795,C
TEST_00809,C
TEST_00814,D
TEST_00828,C
TEST_00833,C
TEST_00836,D
TEST_00838,C
TEST_00847,D
TEST_00849,D
TEST_00850,D
TEST_00859,C
TEST_00864,D
TEST_00905,C
TEST_00906,D
TEST_00920,D
TEST_00929,D
TEST_00931,D
TEST_00951,D
TEST_00954,C
TEST_00964,C
TEST_00966,D
TEST_00976,D
TEST_00979,C
TEST_00980,D
TEST_00988,D
TEST_00989,D
TEST_00990,D
TEST_00992,C
TEST_00993,C
TEST_00995,C
TEST_00996,D
TEST_00999,D
TEST_01021,C
TEST_01022,D
TEST_01029,D
TEST_01038,D
TEST_01040,D
TEST_01043,C
TEST_01050,C
TEST_01053,C
TEST_01056,C
TEST_01064,D
TEST_01066,D
TEST_01067,D
TEST_01082,D
TEST_01091,D
TEST_01096,C
TEST_01099,C
TEST_01114,D
TEST_01122,D
TEST_01152,D
TEST_01167,D
TEST_01172,D
TEST_01173,D
TEST_01180,D
TEST_01183,D
TEST_01194,C
TEST_01196,D
TEST_01197,D
TEST_01201,D
TEST_01203,D
TEST_01207,D
TEST_01212,D
TEST_01220,D
TEST_01223,D
TEST_01228,D
TEST_01231,D
TEST_01238,D
TEST_01242,C
TEST_01254,C
TEST_01258,D
TEST_01264,C
TEST_01268,D
TEST_01269,D
TEST_01272,D
TEST_01273,D
TEST_01277,C
TEST_01281,C
TEST_01282,D
TEST_01287,D
TEST_01295,D
TEST_01317,D
TEST_01318,D
TEST_01319,C
TEST_01332,D
TEST_01339,C
TEST_01341,C
TEST_01346,D
TEST_01350,D
TEST_01364,D
TEST_01369,D
TEST_01375,C
TEST_01388,D
TEST_01395,C
TEST_01396,D
TEST_01405,D
TEST_01414,D
TEST_01421,D
TEST_01422,D
TEST_01428,C
TEST_01430,D
TEST_01433,C
TEST_01435,C
TEST_01445,D
TEST_01456,C
TEST_01459,D
TEST_01462,D
TEST_01464,D
TEST_01485,C
TEST_01486,C
TEST_01492,C
TEST_01501,D
TEST_01504,D
TEST_01519,C
TEST_01523,D
TEST_01527,D
TEST_01535,D
TEST_01545,D
TEST_01550,C
TEST_01554,D
TEST_01570,D
TEST_01575,D
TEST_01584,D
TEST_01591,D
TEST_01600,C
TEST_01602,C
TEST_01616,D
TEST_01618,D
TEST_01620,D
TEST_01625,C
TEST_01635,D
TEST_01642,D
TEST_01646,D
TEST_01649,C
TEST_01659,D
TEST_01662,D
TEST_01680,D
TEST_01683,C
TEST_01686,D
TEST_01693,D
TEST_01705,D
TEST_01711,D
TEST_01717,C
TEST_01718,D
TEST_01734,C
TEST_01741,C
TEST_01748,D
TEST_01758,D
TEST_01772,D
TEST_01785,D
TEST_01786,D
TEST_01788,D
TEST_01790,D
TEST_01792,D
TEST_01794,C
TEST_01804,C
TEST_01811,C
TEST_01815,D
TEST_01818,D
TEST_01820,D
TEST_01837,D
TEST_01840,D
TEST_01843,C
TEST_01849,D
TEST_01853,D
TEST_01859,C
TEST_01860,D
TEST_01861,C
TEST_01862,D
TEST_01870,C
TEST_01879,D
TEST_01883,D
TEST_01884,D
TEST_01886,C
TEST_01902,C
TEST_01908,C
TEST_01909,D
TEST_01913,D
TEST_01915,D
TEST_01924,D
TEST_01928,D
TEST_01934,C
TEST_01938,D
TEST_01960,C
TEST_01961,D
TEST_01990,D
TEST_01991,D
TEST_01993,D
TEST_02000,C
TEST_02002,C
TEST_02011,C
TEST_02013,C
TEST_02018,D
TEST_02019,D
TEST_02030,D
TEST_02032,C
TEST_02035,D
TEST_02039,D
TEST_02054,C
TEST_02055,D
TEST_02060,D
TEST_02062,D
TEST_02069,C
TEST_02083,D
TEST_02086,D
TEST_02090,D
TEST_02092,D
TEST_02093,D
TEST_02096,D
TEST_02102,C
TEST_02111,D
TEST_02141,D
TEST_02146,D
TEST_02148,C
TEST_02151,D
TEST_02158,D
TEST_02161,D
TEST_02171,D
TEST_02183,D
TEST_02190,D
TEST_02192,D
TEST_02199,D
TEST_02202,D
TEST_02204,D
TEST_02212,C
TEST_02218,D
TEST_02219,D
TEST_02226,D
TEST_02228,D
TEST_02229,D
TEST_02230,C
TEST_02232,D
TEST_02233,D
TEST_02235,D
TEST_02240,C
TEST_02241,D
TEST_02253,D
TEST_02266,D
TEST_02269,C
TEST_02270,D
TEST_02275,D
TEST_02279,D
TEST_02284,D
TEST_02287,D
TEST_02290,D
TEST_02296,D
TEST_02300,C
TEST_02307,D
TEST_02314,D
TEST_02323,C
TEST_02353,C
TEST_02359,D
TEST_02363,C
TEST_02367,D
TEST_02370,D
TEST_02371,C
TEST_02382,C
TEST_02395,D
TEST_02399,D
TEST_02408,D
TEST_02411,D
TEST_02415,D
TEST_02416,D
TEST_02421,D
TEST_02422,C
TEST_02426,C
TEST_02428,C
TEST_02429,D
TEST_02430,D
TEST_02433,D
TEST_02435,C
TEST_02443,D
TEST_02467,D
TEST_02476,D
TEST_02480,C
TEST_02481,D
TEST_02485,D
TEST_02489,D
TEST_02490,D
TEST_02496,D
TEST_02497,D
TEST_02503,C
TEST_02504,C
TEST_02527,D
TEST_02533,C
TEST_02538,D
TEST_02539,C
TEST_02554,D
TEST_02556,D
TEST_02558,D
TEST_02563,D
TEST_02564,C
TEST_02569,D
TEST_02571,D
TEST_02574,D
TEST_02583,D
TEST_02584,D
TEST_02595,D
TEST_02605,D
TEST_02624,D
TEST_02630,D
TEST_02631,D
TEST_02641,D
TEST_02657,D
TEST_02668,D
TEST_02677,C
TEST_02682,D
TEST_02688,D
TEST_02692,C
TEST_02694,D
TEST_02697,D
TEST_02699,D
TEST_02702,D
TEST_02717,C
TEST_02718,D
TEST_02720,C
TEST_02725,C
TEST_02731,C
TEST_02732,D
TEST_02736,D
TEST_02741,D
TEST_02753,D
TEST_02764,C
TEST_02768,C
TEST_02778,C
TEST_02792,D
TEST_02793,D
TEST_02801,C
TEST_02807,D
TEST_02809,D
TEST_02832,D
TEST_02848,D
TEST_02855,D
TEST_02856,D
TEST_02866,C
TEST_02868,D
TEST_02872,D
TEST_02883,D
TEST_02891,D
TEST_02892,D
TEST_02901,C
TEST_02911,C
TEST_02912,D
TEST_02919,D
TEST_02930,C
TEST_02936,C
TEST_02949,D
TEST_02957,D
TEST_02959,D
TEST_02964,D
TEST_02966,C
TEST_02973,C
TEST_02976,D
TEST_02978,C
TEST_02985,D
TEST_02999,C
TEST_03002,D
TEST_03012,C
TEST_03034,D
TEST_03039,D
TEST_03040,D
TEST_03043,D
TEST_03048,D
TEST_03051,D
TEST_03063,D
TEST_03065,D
TEST_03071,C
TEST_03073,D
TEST_03083,C
TEST_03085,D
TEST_03087,D
TEST_03088,D
TEST_03094,D
TEST_03095,D
TEST_03099,C
TEST_03110,C
TEST_03115,C
TEST_03135,D
TEST_03142,C
TEST_03147,D
TEST_03148,D
TEST_03149,D
TEST_03154,C
TEST_03156,C
TEST_03162,D
TEST_03176,C
TEST_03179,C
TEST_03182,D
TEST_03187,C
TEST_03191,D
TEST_03194,D
TEST_03197,D
TEST_03198,D
TEST_03199,D
TEST_03206,D
TEST_03207,C
TEST_03218,D
TEST_03219,D
TEST_03223,D
TEST_03232,D
TEST_03238,C
TEST_03253,D
TEST_03265,C
TEST_03268,D
TEST_03270,D
TEST_03273,C
TEST_03276,D
TEST_03282,D
TEST_03287,C
TEST_03298,D
TEST_03301,D
TEST_03311,C
TEST_03313,D
TEST_03322,C
TEST_03328,D
TEST_03330,D
TEST_03334,D
TEST_03339,D
TEST_03342,D
TEST_03345,D
TEST_03347,D
TEST_03350,D
TEST_03351,D
TEST_03354,D
TEST_03361,D
TEST_03365,D
TEST_03372,D
TEST_03376,D
TEST_03381,C
TEST_03387,C
TEST_03390,D
TEST_03403,D
TEST_03406,D
TEST_03411,D
TEST_03414,D
TEST_03423,D
TEST_03424,D
TEST_03426,C
TEST_03429,D
TEST_03435,C
TEST_03436,C
TEST_03440,C
TEST_03442,D
TEST_03453,D
TEST_03457,D
TEST_03465,C
TEST_03466,D
TEST_03469,D
TEST_03473,C
TEST_03483,D
TEST_03491,C
TEST_03504,D
TEST_03517,D
TEST_03547,D
TEST_03558,D
TEST_03564,D
TEST_03566,C
TEST_03578,D
TEST_03580,D
TEST_03585,D
TEST_03589,D
TEST_03594,D
TEST_03597,D
TEST_03603,D
TEST_03606,D
TEST_03611,C
TEST_03615,D
TEST_03616,D
TEST_03622,D
TEST_03623,C
TEST_03634,D
TEST_03637,D
TEST_03639,C
TEST_03646,C
TEST_03648,C
TEST_03666,C
TEST_03670,D
TEST_03673,C
TEST_03674,D
TEST_03691,D
TEST_03694,C
TEST_03711,D
TEST_03719,D
TEST_03731,D
TEST_03739,D
TEST_03753,D
TEST_03759,D
TEST_03766,D
TEST_03772,D
TEST_03785,D
TEST_03797,D
TEST_03800,C
TEST_03810,D
TEST_03811,C
TEST_03813,D
TEST_03824,D
TEST_03825,C
TEST_03837,C
TEST_03843,D
TEST_03858,D
TEST_03859,D
TEST_03866,D
TEST_03877,D
TEST_03881,C
TEST_03884,D
TEST_03898,D
TEST_03899,D
TEST_03903,D
TEST_03913,C
TEST_03914,D
TEST_03932,D
TEST_03940,C
TEST_03947,C
TEST_03948,D
TEST_03951,C
TEST_03955,D
TEST_03964,D
TEST_03965,D
TEST_03971,D
TEST_03975,C
TEST_03984,D
TEST_03990,D
TEST_03998,C
TEST_04013,C
TEST_04022,D
TEST_04026,D
TEST_04031,C
TEST_04037,C
TEST_04068,D
TEST_04084,C
TEST_04089,C
TEST_04090,D
TEST_04096,D
TEST_04098,D
TEST_04102,C
TEST_04128,C
TEST_04134,C
TEST_04140,D
TEST_04148,C
TEST_04149,C
TEST_04152,C
TEST_04153,D
TEST_04160,D
TEST_04161,D
TEST_04162,C
TEST_04166,D
TEST_04167,C
TEST_04172,D
TEST_04175,D
TEST_04187,C
TEST_04200,D
TEST_04202,D
TEST_04206,D
TEST_04215,C
TEST_04217,D
TEST_04220,C
TEST_04223,D
TEST_04225,D
TEST_04226,D
TEST_04229,D
TEST_04247,D
TEST_04262,C
TEST_04264,C
TEST_04269,D
TEST_04272,C
TEST_04281,D
TEST_04287,D
TEST_04292,D
TEST_04303,D
TEST_04304,C
TEST_04309,D
TEST_04310,C
TEST_04314,D
TEST_04326,D
TEST_04332,D
TEST_04335,D
TEST_04337,D
TEST_04343,D
TEST_04364,D
TEST_04370,C
TEST_04371,D
TEST_04387,D
TEST_04397,D
TEST_04400,D
TEST_04402,C
TEST_04426,C
TEST_04431,D
TEST_04434,D
TEST_04449,C
TEST_04455,D
TEST_04466,D
TEST_04470,D
TEST_04471,D
TEST_04477,D
TEST_04485,D
TEST_04501,D
TEST_04503,C
TEST_04505,C
TEST_04507,C
TEST_04508,D
TEST_04510,D
TEST_04511,D
TEST_04512,D
TEST_04513,C
TEST_04515,D
TEST_04531,D
TEST_04536,D
TEST_04540,C
TEST_04543,C
TEST_04548,D
TEST_04558,D
TEST_04559,D
TEST_04560,C
TEST_04566,D
TEST_04568,D
TEST_04572,C
TEST_04574,C
TEST_04579,D
TEST_04593,C
TEST_04597,D
TEST_04601,D
TEST_04604,D
TEST_04611,D
TEST_04624,C
TEST_04640,D
TEST_04643,D
TEST_04648,D
TEST_04651,C
TEST_04653,D
TEST_04659,D
TEST_04667,D
TEST_04669,D
TEST_04670,C
TEST_04677,C
TEST_04678,D
TEST_04687,C
TEST_04688,D
TEST_04690,D
TEST_04696,C
TEST_04699,D
TEST_04703,C
TEST_04714,D
TEST_04720,C
TEST_04729,D
TEST_04734,D
TEST_04736,C
TEST_04737,D
TEST_04744,C
TEST_04754,D
TEST_04758,D
TEST_04768,D
TEST_04769,D
TEST_04780,D
TEST_04781,D
TEST_04785,C
TEST_04788,C
TEST_04793,D
TEST_04801,D
TEST_04805,D
TEST_04823,D
TEST_04825,C
TEST_04838,D
TEST_04839,D
TEST_04845,C
TEST_04857,D
TEST_04900,C
TEST_04901,D
TEST_04909,D
TEST_04910,D
TEST_04913,D
TEST_04929,D
TEST_04930,C
TEST_04933,D
TEST_04940,D
TEST_04941,D
TEST_04970,D
TEST_04972,D
TEST_04974,D
TEST_05000,D
TEST_05015,D
TEST_05020,D
TEST_05022,D
TEST_05025,D
TEST_05034,C
TEST_05039,D
TEST_05041,D
TEST_05045,D
TEST_05046,D
TEST_05049,C
TEST_05051,C
TEST_05053,D
TEST_05054,C
TEST_05057,D
TEST_05059,D
TEST_05060,D
TEST_05085,D
TEST_05098,D
TEST_05103,D
TEST_05108,D
TEST_05118,D
TEST_05119,D
TEST_05123,D
TEST_05131,C
TEST_05134,D
TEST_05137,C
TEST_05142,D
TEST_05143,D
TEST_05146,C
TEST_05149,D
TEST_05150,D
TEST_05152,D
TEST_05155,C
TEST_05159,D
TEST_05161,D
TEST_05195,D
TEST_05196,D
TEST_05201,C
TEST_05210,D
TEST_05213,D
TEST_05215,C
TEST_05224,D
TEST_05225,D
TEST_05229,C
TEST_05249,C
TEST_05265,D
TEST_05266,D
TEST_05267,D
TEST_05268,D
TEST_05272,C
TEST_05274,C
TEST_05289,D
TEST_05306,C
TEST_05313,C
TEST_05319,D
TEST_05324,C
TEST_05343,C
TEST_05344,D
TEST_05347,D
TEST_05378,D
TEST_05387,D
TEST_05400,D
TEST_05405,C
TEST_05415,D
TEST_05437,D
TEST_05440,D
TEST_05458,D
TEST_05479,C
TEST_05494,C
TEST_05529,D
TEST_05534,C
TEST_05539,C
TEST_05540,D
TEST_05542,D
TEST_05544,C
TEST_05561,C
TEST_05570,D
TEST_05577,D
TEST_05579,D
TEST_05582,C
TEST_05597,D
TEST_05609,D
TEST_05622,D
TEST_05625,D
TEST_05627,C
TEST_05640,D
TEST_05643,D
TEST_05646,D
TEST_05651,D
TEST_05660,C
TEST_05666,C
TEST_05674,D
TEST_05676,D
TEST_05678,D
TEST_05683,D
TEST_05700,D
TEST_05708,C
TEST_05709,D
TEST_05724,D
TEST_05726,D
TEST_05729,D
TEST_05744,D
TEST_05747,D
TEST_05751,D
TEST_05752,D
TEST_05767,D
TEST_05781,D
TEST_05783,D
TEST_05786,D
TEST_05787,C
TEST_05791,D
TEST_05802,C
TEST_05807,C
TEST_05812,D
TEST_05814,C
TEST_05816,D
TEST_05818,C
TEST_05826,D
TEST_05831,D
TEST_05843,D
TEST_05854,D
TEST_05861,D
TEST_05864,D
TEST_05866,C
TEST_05868,D
TEST_05879,D
TEST_05890,D
TEST_05891,C
TEST_05901,C
TEST_05908,D
TEST_05916,D
TEST_05922,D
TEST_05925,D
TEST_05930,C
TEST_05932,D
TEST_05937,C
TEST_05944,D
TEST_05950,C
TEST_05953,D
TEST_05963,C
TEST_05964,C
TEST_05965,C
TEST_05972,D
TEST_05974,D
TEST_05975,D
TEST_05977,D
TEST_05984,C
TEST_05990,D
TEST_05991,C
TEST_05992,D
TEST_05994,D
TEST_06002,D
TEST_06006,C
TEST_06007,C
TEST_06010,D
TEST_06021,D
TEST_06028,D
TEST_06033,C
TEST_06042,D
TEST_06047,D
TEST_06048,D
TEST_06053,C
TEST_06054,D
TEST_06056,D
TEST_06060,D
TEST_06062,C
TEST_06065,C
TEST_06076,D
TEST_06089,D
TEST_06096,D
TEST_06105,D
TEST_06116,D
TEST_06127,D
TEST_06129,C
TEST_06134,D
TEST_06135,D
TEST_06141,C
TEST_06147,D
TEST_06167,D
TEST_06170,D
TEST_06175,D
TEST_06178,D
TEST_06190,D
TEST_06197,D
TEST_06199,C
TEST_06201,C
TEST_06217,D
TEST_06218,D
TEST_06225,D
TEST_06234,C
TEST_06246,D
TEST_06252,D
TEST_06259,D
TEST_06267,C
TEST_06275,D
TEST_06278,D
TEST_06282,D
TEST_06294,D
TEST_06295,D
TEST_06296,D
TEST_06301,D
TEST_06304,D
TEST_06311,D
TEST_06313,D
TEST_06317,D
TEST_06326,D
TEST_06329,D
TEST_06339,D
TEST_06365,C
TEST_06367,D
TEST_06370,D
TEST_06384,D
TEST_06396,D
TEST_06399,D
TEST_06404,C
TEST_06406,C
TEST_06407,D
TEST_06417,C
TEST_06425,C
TEST_06430,D
TEST_06433,C
TEST_06435,C
TEST_06456,C
TEST_06483,D
TEST_06488,D
TEST_06493,D
TEST_06496,C
TEST_06501,D
TEST_06502,D
TEST_06507,D
TEST_06508,C
TEST_06519,C
TEST_06520,D
TEST_06525,D
TEST_06535,C
TEST_06536,C
TEST_06537,D
TEST_06540,D
TEST_06542,D
TEST_06544,D
TEST_06546,D
TEST_06560,C
TEST_06568,D
TEST_06574,D
TEST_06585,C
TEST_06590,C
TEST_06592,C
TEST_06598,D
TEST_06607,D
TEST_06609,D
TEST_06627,C
TEST_06635,C
TEST_06642,D
TEST_06655,D
TEST_06656,D
TEST_06660,C
TEST_06661,D
TEST_06672,D
TEST_06689,D
TEST_06699,D
TEST_06701,D
TEST_06713,D
TEST_06727,D
TEST_06732,D
TEST_06734,C
TEST_06735,D
TEST_06746,D
TEST_06750,D
TEST_06752,D
TEST_06755,C
TEST_06758,D
TEST_06769,D
TEST_06773,D
TEST_06786,C
TEST_06788,D
TEST_06796,C
TEST_06811,D
TEST_06812,D
TEST_06814,C
TEST_06827,C
TEST_06837,C
TEST_06838,C
TEST_06839,C
TEST_06848,D
TEST_06856,C
TEST_06886,D
TEST_06897,D
TEST_06900,C
TEST_06918,D
TEST_06931,C
TEST_06934,D
TEST_06936,C
TEST_06937,D
TEST_06957,D
TEST_06962,D
TEST_06965,C
TEST_06967,D
TEST_06978,D
TEST_06980,D
TEST_06981,D
TEST_06985,D
TEST_06992,D
TEST_07000,C
TEST_07003,C
TEST_07008,D
TEST_07014,C
TEST_07019,D
TEST_07024,D
TEST_07025,C
TEST_07029,D
TEST_07036,D
TEST_07037,D
TEST_07041,D
TEST_07045,D
TEST_07046,C
TEST_07049,D
TEST_07050,C
TEST_07061,C
TEST_07063,D
TEST_07066,C
TEST_07067,C
TEST_07068,D
TEST_07070,D
TEST_07073,D
TEST_07075,D
TEST_07079,D
TEST_07092,D
TEST_07100,C
TEST_07104,D
TEST_07114,D
TEST_07132,D
TEST_07139,D
TEST_07151,C
TEST_07155,D
TEST_07156,C
TEST_07162,D
TEST_07164,C
TEST_07171,C
TEST_07180,D
TEST_07190,D
TEST_07198,D
TEST_07209,D
TEST_07211,D
TEST_07212,D
TEST_07221,C
TEST_07223,D
TEST_07232,C
TEST_07244,D
TEST_07247,C
TEST_07249,C
TEST_07259,D
TEST_07267,C
TEST_07272,D
TEST_07285,D
TEST_07292,D
TEST_07294,D
TEST_07299,D
TEST_07309,D
TEST_07310,D
TEST_07313,D
TEST_07325,C
TEST_07328,C
TEST_07330,D
TEST_07342,C
TEST_07347,D
TEST_07352,C
TEST_07359,C
TEST_07360,D
TEST_07364,D
TEST_07367,C
TEST_07380,C
TEST_07381,D
TEST_07389,C
TEST_07390,D
TEST_07395,D
TEST_07407,D
TEST_07408,C
TEST_07416,D
TEST_07417,C
TEST_07420,D
TEST_07430,C
TEST_07432,C
TEST_07436,D
TEST_07437,C
TEST_07438,D
TEST_07442,D
TEST_07454,C
TEST_07459,D
TEST_07467,D
TEST_07468,D
TEST_07473,D
TEST_07478,C
TEST_07479,D
TEST_07491,D
TEST_07496,D
TEST_07498,D
TEST_07501,C
TEST_07505,C
TEST_07506,C
TEST_07511,C
TEST_07537,D
TEST_07559,D
TEST_07565,D
TEST_07579,D
TEST_07601,C
TEST_07608,C
TEST_07609,D
TEST_07610,D
TEST_07622,D
TEST_07631,D
TEST_07640,C
TEST_07642,C
TEST_07650,D
TEST_07663,C
TEST_07666,C
TEST_07667,D
TEST_07670,D
TEST_07677,C
TEST_07679,D
TEST_07680,D
TEST_07681,D
TEST_07686,D
TEST_07688,D
TEST_07693,D
TEST_07695,D
TEST_07696,D
TEST_07698,C
TEST_07699,D
TEST_07704,D
TEST_07708,D
TEST_07709,D
TEST_07716,C
TEST_07727,D
TEST_07730,D
TEST_07734,D
TEST_07739,D
TEST_07744,C
TEST_07751,D
TEST_07752,C
TEST_07753,D
TEST_07763,D
TEST_07774,D
TEST_07780,D
TEST_07783,D
TEST_07789,C
TEST_07794,C
TEST_07795,D
TEST_07797,D
TEST_07803,D
TEST_07808,D
TEST_07810,D
TEST_07811,D
TEST_07812,D
TEST_07813,D
TEST_07815,D
TEST_07823,C
TEST_07829,D
TEST_07831,D
TEST_07832,D
TEST_07844,D
TEST_07851,D
TEST_07852,D
TEST_07863,C
TEST_07869,D
TEST_07879,C
TEST_07880,D
TEST_07882,D
TEST_07883,D
TEST_07884,D
TEST_07892,D
TEST_07902,D
TEST_07907,D
TEST_07918,D
TEST_07919,D
TEST_07929,C
TEST_07934,D
TEST_07936,D
TEST_07940,D
TEST_07943,D
TEST_07956,D
TEST_07965,D
TEST_07974,C
TEST_07975,D
TEST_07983,D
TEST_07985,C
TEST_07990,C
TEST_07993,C
TEST_08002,D
TEST_08012,C
TEST_08030,D
TEST_08045,C
TEST_08051,C
TEST_08056,C
TEST_08062,D
TEST_08067,D
TEST_08079,C
TEST_08085,C
TEST_08088,D
TEST_08096,D
TEST_08099,D
TEST_08104,D
TEST_08107,D
TEST_08121,C
TEST_08130,C
TEST_08135,D
TEST_08142,D
TEST_08147,D
TEST_08178,C
TEST_08183,D
TEST_08189,D
TEST_08192,C
TEST_08201,D
TEST_08202,D
TEST_08221,C
TEST_08233,D
TEST_08246,C
TEST_08251,D
TEST_08252,C
TEST_08255,D
TEST_08257,D
TEST_08261,C
TEST_08262,D
TEST_08265,D
TEST_08269,C
TEST_08276,D
TEST_08284,D
TEST_08286,D
TEST_08290,D
TEST_08299,D
TEST_08307,D
TEST_08314,C
TEST_08315,D
TEST_08322,C
TEST_08323,C
TEST_08328,C
TEST_08349,C
TEST_08352,D
TEST_08354,C
TEST_08359,D
TEST_08360,C
TEST_08369,D
TEST_08372,C
TEST_08382,D
TEST_08408,D
TEST_08409,D
TEST_08412,C
TEST_08416,D
TEST_08418,D
TEST_08428,D
TEST_08435,D
TEST_08442,D
TEST_08445,D
TEST_08449,D
TEST_08481,D
TEST_08490,C
TEST_08498,C
TEST_08509,D
TEST_08510,C
TEST_08518,C
TEST_08521,C
TEST_08527,C
TEST_08542,C
TEST_08543,D
TEST_08544,D
TEST_08550,D
TEST_08552,D
TEST_08555,C
TEST_08570,D
TEST_08571,D
TEST_08576,C
TEST_08582,D
TEST_08583,D
TEST_08590,D
TEST_08594,D
TEST_08600,D
TEST_08604,C
TEST_08613,D
TEST_08622,D
TEST_08628,D
TEST_08629,D
TEST_08634,C
TEST_08639,C
TEST_08653,D
TEST_08657,D
TEST_08665,D
TEST_08666,C
TEST_08673,C
TEST_08674,D
TEST_08687,D
TEST_08698,D
TEST_08699,D
TEST_08708,D
TEST_08717,C
TEST_08719,D
TEST_08721,D
TEST_08725,C
TEST_08729,D
TEST_08733,D
TEST_08743,D
TEST_08747,D
TEST_08751,C
TEST_08759,C
TEST_08761,C
TEST_08763,D
TEST_08767,D
TEST_08769,D
TEST_08775,D
TEST_08776,C
TEST_08782,D
TEST_08784,D
TEST_08785,C
TEST_08795,D
TEST_08804,D
TEST_08816,C
TEST_08825,D
TEST_08836,D
TEST_08838,D
TEST_08850,D
TEST_08851,C
TEST_08857,D
TEST_08858,D
TEST_08859,D
TEST_08860,D
TEST_08864,D
TEST_08870,D
TEST_08873,D
TEST_08874,D
TEST_08882,D
TEST_08888,D
TEST_08893,D
TEST_08900,D
TEST_08906,C
TEST_08912,D
TEST_08933,C
TEST_08935,D
TEST_08936,D
TEST_08937,D
TEST_08948,D
TEST_08951,D
TEST_08952,D
TEST_08958,D
TEST_08964,C
TEST_08965,D
TEST_08983,D
TEST_08987,C
TEST_08990,C
TEST_08997,D
TEST_09001,D
TEST_09007,D
TEST_09010,D
TEST_09016,D
TEST_09018,D
TEST_09019,C
TEST_09022,D
TEST_09023,D
TEST_09026,D
TEST_09027,D
TEST_09033,D
TEST_09040,D
TEST_09045,D
TEST_09049,C
TEST_09050,D
TEST_09058,D
TEST_09062,D
TEST_09065,D
TEST_09068,D
TEST_09073,D
TEST_09082,D
TEST_09084,C
TEST_09087,C
TEST_09089,D
TEST_09096,D
TEST_09103,D
TEST_09113,D
TEST_09119,D
TEST_09124,D
TEST_09128,D
TEST_09131,D
TEST_09132,D
TEST_09137,D
TEST_09142,D
TEST_09145,C
TEST_09152,D
TEST_09164,C
TEST_09165,D
TEST_09168,D
TEST_09171,C
TEST_09173,D
TEST_09174,D
TEST_09182,D
TEST_09193,D
TEST_09199,D
TEST_09215,D
TEST_09225,D
TEST_09243,C
TEST_09248,D
TEST_09252,D
TEST_09254,C
TEST_09255,D
TEST_09259,D
TEST_09261,D
TEST_09277,D
TEST_09278,D
TEST_09283,D
TEST_09292,D
TEST_09302,D
TEST_09307,D
TEST_09310,D
TEST_09317,C
TEST_09320,D
TEST_09322,D
TEST_09324,D
TEST_09329,C
TEST_09336,C
TEST_09337,D
TEST_09338,D
TEST_09341,D
TEST_09342,D
TEST_09349,D
TEST_09351,D
TEST_09356,C
TEST_09357,D
TEST_09362,C
TEST_09367,D
TEST_09368,D
TEST_09372,D
TEST_09384,C
TEST_09387,D
TEST_09389,C
TEST_09396,C
TEST_09400,D
TEST_09420,D
TEST_09440,D
TEST_09442,D
TEST_09448,D
TEST_09459,D
TEST_09469,D
TEST_09481,D
TEST_09483,D
TEST_09490,D
TEST_09497,C
TEST_09512,D
